IPERC - Library ID,Title,Cantidad Referencia,Level,IPERC - L2,IPERC- L1,Descrpción,IPERC - L2 (No eliminar),IPERC- L1 (No eliminar),IPERC - Matrix (Peligros),IPERC - Matrix 4 (Riesgos),IPERC - Matrix (Consecuencias),IPERC - Matrix (Probabilidad),IPERC - Matrix (Nivel de Riesgo),IPERC - Matrix (Consecuencias) copy,IPERC - Matrix (Probabilidad) copy
Asfixia,Asfixia,"5,0",L3,Daño Fatal,Consecuencias,,,,,,"Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 6 Entibado/Tablestacado "",Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 8 Durante todas las tareas de este proceso (Derrumbe)",,,"Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de Tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 6 Entibado/Tablestacado "",Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Construcción de Fundaciones- Bases aisladas - 3 Perfilado de Bases,Construcción de Fundaciones- Bases aisladas - 8 Durante todas las tareas de este proceso (Derrumbe)",
Muerte,Muerte,"5,0",L3,Daño Fatal,Consecuencias,,,,,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Construcción de Columnas de Hormigón Armado - 1 Corte y Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros (columna armada),Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 2 Izaje de Viguetas pretensadas y material aligerante,Construcción de Losas con Viguetas Pretensadas - 3 Disposición de los materiales en losa,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte y Doblado de Hierros),Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Piscinas - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 6 Perforación para Anclajes,Fundaciones - 5 Colocación de Armadura,Fundaciones - 6 Carga de Hormigón,Hidrófugo en bases - 3 Agregado del Hidrófugo,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 1 Colocación de capas de relleno,Relleno Compactación de Bases - 3 Compactación de Superficie,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 8 Durante todas las tareas de este proceso (Derrumbe)"",Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora y Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 10 Durante todas las tareas de este proceso (Derrumbe),Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 1 Excavación y Nivelación de Terreno (Espesor de losa),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 3 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de Columnas - 1 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de Columnas - 4 Armado de Encofrado ,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",Construcción de Columnas - 6 Carga de Hormigón, - 3 Instalación de Tirantes de Defensas, - 4 Pintura de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 1 Armado de Tirantes de madera para Defensas,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte inferior),Montaje de Paneles y aberturas de Vidrio - 2 Posicionamiento camión (transporte de paneles de vidrio),Montaje de Paneles y aberturas de Vidrio - 3 Preparación de la hidrogrúa para Izaje",,,"Revoque Proyectado con Bomba Mezcladora - 1 Recepción de materiales,Revoque Proyectado con Bomba Mezcladora - 4 Mezcla en Bomba Mezcladora,Construcción de Columnas de Hormigón Armado - 1 Corte y Doblado de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros (columna armada),Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 2 Izaje de Hierros,Construcción de Columnas de Hormigón Armado - 3 Encofrado de Columnas,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 1 Recepción de materiales,Construcción de Losas con Viguetas Pretensadas - 2 Izaje de Viguetas pretensadas y material aligerante,Construcción de Losas con Viguetas Pretensadas - 3 Disposición de los materiales en losa,Construcción de Losas con Viguetas Pretensadas - 4 Armadura de losa (Corte y Doblado de Hierros),Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 1 Recepción de materiales,Construcción de Muro de Mampostería - 4 Mezcla en Hormigonera,Construcción de Muro de Mampostería - 7 Colocación de ladrillos,Construcción de Piscinas - 1 Remoción de Tierra,Excavación menor a 1.50 m - 1 Remoción de tierra,Excavación menor a 1.50 m - 2 Perfilado de excavación,Excavación menor a 1.50 m - 6 Perforación para Anclajes,Fundaciones - 5 Colocación de Armadura,Fundaciones - 6 Carga de Hormigón,Hidrófugo en bases - 3 Agregado del Hidrófugo,Instalación Cloacal y Pluvial - 2 Corte de cañería con Amoladora eléctrica,Instalación Cloacal y Pluvial - 6 Unión de cañería Termofusión con Termofusora,Instalación Cloacal y Pluvial - 7 Prueba Hidráulica de Termofusión,Relleno Compactación de Bases - 1 Colocación de capas de relleno,Relleno Compactación de Bases - 3 Compactación de Superficie,Trabajos con Tensión - 1 Canalizaciones,Trabajos con Tensión - 1 Canalizaciones,""Excavación de Subsuelo mayor a 1,50 m - 1 Depresión de Napas Freáticas (Todas las etapas)"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 2 Remoción de tierra"",""Excavación de Subsuelo mayor a 1,50 m - 4 División de troneras"",""Excavación de Subsuelo mayor a 1,50 m - 8 Durante todas las tareas de este proceso (Derrumbe)"",Acnlajes y Submuración de Subsuelo - 1 Perforación para anclajes,Acnlajes y Submuración de Subsuelo - 2 Preparación de Estructuras (Dobladora y Cortadora de Varillas),Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia,Acnlajes y Submuración de Subsuelo - 8 Apertura de troneras,Acnlajes y Submuración de Subsuelo - 10 Durante todas las tareas de este proceso (Derrumbe),Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 1 Excavación de Bases,Construcción de Fundaciones- Bases aisladas - 4 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de Fundaciones- Bases aisladas - 6 Carga de Hormigón de Bases,Construcción de losas de subsuelo - 1 Excavación y Nivelación de Terreno (Espesor de losa),Construcción de losas de subsuelo - 3 Preparación de Armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas de subsuelo - 5 Carga de Hormigón,Construcción de losas en Altura - 1 Armado de Encofrado ,Construcción de losas en Altura - 3 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de losas en Altura - 7 Carga de Hormigón de losa,Construcción de Columnas - 1 Preparación de armadura (Corte y Doblado de Varillas de Hierro),Construcción de Columnas - 4 Armado de Encofrado ,Construcción de Columnas - 2 Manipulación e Izaje de varillas de Hierro,""Construcción de Columnas - 5 Encofrado, aseguramiento y nivelación"",Construcción de Columnas - 6 Carga de Hormigón, - 3 Instalación de Tirantes de Defensas, - 4 Pintura de Fenólicos, - 6 Cierres y terminaciones de Defensas, - 1 Armado de Tirantes de madera para Defensas,Montaje de Paneles y aberturas de Vidrio - 1 Nivelación y colocación de marcos de Madera (Parte inferior),Montaje de Paneles y aberturas de Vidrio - 2 Posicionamiento camión (transporte de paneles de vidrio),Montaje de Paneles y aberturas de Vidrio - 3 Preparación de la hidrogrúa para Izaje",
Enfermedades Fatales Agudas,Enfermedades Fatales Agudas,"5,0",L3,Daño Fatal,Consecuencias,,,,,,,,,,
Asma,Asma,"3,0",L3,Daño Grave,Consecuencias,,,,,,,,,,
Quemaduras Mayores,Quemaduras Mayores,"3,0",L3,Daño Grave,Consecuencias,,,,,,"Acnlajes y Submuración de Subsuelo - 11 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 9 Durante todas las tareas de este proceso (Incendio),Construcción de losas de subsuelo - 7 Durante todas las tareas de este proceso (Incendio),Construcción de losas en Altura - 9 Durante todas las tareas de este proceso (Incendio),Construcción de Columnas - 8 Durante todas las tareas de este proceso (Incendio), - 8 Durante todas las tareas de este proceso (Incendio)",,,"Acnlajes y Submuración de Subsuelo - 11 Durante todas las tareas de este proceso (Incendio),Construcción de Fundaciones- Bases aisladas - 9 Durante todas las tareas de este proceso (Incendio),Construcción de losas de subsuelo - 7 Durante todas las tareas de este proceso (Incendio),Construcción de losas en Altura - 9 Durante todas las tareas de este proceso (Incendio),Construcción de Columnas - 8 Durante todas las tareas de este proceso (Incendio), - 8 Durante todas las tareas de este proceso (Incendio)",
Lesiones de Ligamentos Serias,Lesiones de Ligamentos Serias,"3,0",L3,Daño Grave,Consecuencias,,,,,,,,,,
Sordera,Sordera,"3,0",L3,Daño Grave,Consecuencias,,,,,,,,,,
Discapacidades Permanentes Menores,Discapacidades Permanentes Menores,"3,0",L3,Daño Grave,Consecuencias,,,,,,,,,,
Irritación Ocular por Polvo,Irritación Ocular por Polvo,"1,0",L3,Daño Leve,Consecuencias,,,,,,"Revoque Proyectado con Bomba Mezcladora - 3 Preparación de la Mezcla,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua), - 1 Armado de Tirantes de madera para Defensas",,,"Revoque Proyectado con Bomba Mezcladora - 3 Preparación de la Mezcla,Construcción de Muro de Mampostería - 3 Preparación de Mortero,Acnlajes y Submuración de Subsuelo - 4 Inyección de lechada cementicia  (cemento y agua), - 1 Armado de Tirantes de madera para Defensas",
Malestar Temporal,Malestar Temporal,"1,0",L3,Daño Leve,Consecuencias,,,,,,"Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores",,,"Construcción de Losas con Viguetas Pretensadas - 6 Durante las tareas anteriores,Construcción de Muro de Mampostería - 8 Durante las tareas anteriores",
