IPERC - ID,Sectores de Trabajo (Master Component),Process ES,Task Number,Task Description,Dangers (L3),Condición de Peligro,Risks (L3),Initial Consequence (L3),Initial Probability (L3),Measures Control (Unficate),Final Consequence (L3),Clasifications Consequence (L3),Q Final Consequence (L3),Final Probability (L3),Cantidad Referencia (from Final Probability (L3)),FRL Valoration,FRL Clasification,IRL Clasification (L1),IRL Description Clasification (L1)
Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Equipo de construcción Albañilería,Construcción de losas con viguetas pretensadas muro,1,Muros de Mampostería,Máquina,,Contacto Eléctrico Directo,Muerte,Moderada,"CONTROL DE INGENIERÍA
- Señalización del área de trabajo.
- Instalación adecuada de las máquinas con protecciones y tarimas contra el ingreso de agua.
- Tendido de cables eléctricos a 2 m de altura.
- Conexión de puesta a tierra certificada.
- Disponibilidad de extintor ABC de 10 kg en el área de trabajo.
CONTROL ADMINISTRATIVO
- Asignar un supervisor en el frente de trabajo.
- Check list de tableros eléctricos portátiles o fijos (disyuntores y térmicas).
- Capacitación en el uso seguro de máquinas eléctricas.
- Aplicación de Procedimientos de Trabajo Seguro.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Chaleco reflectante
",Muerte,Daño Fatal,5,Moderada,3,15,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Equipo de construcción Albañilería,Construcción de losas con viguetas pretensadas muro,1,Muros de Mampostería,Andamio,,Caída de Persona a Distinto Nivel,Fracturas Mayores,Probable,"CONTROL DE INGENIERÍA
- Delimitación del área de trabajo.
- Sistema de anclaje con arnés y línea de vida, con punto de anclaje por encima del andamio.
CONTROL ADMINISTRATIVO
- Asignar un supervisor en el frente de trabajo.
- Check list del andamio (verificación de medidas de seguridad).
- Check list de arnés de seguridad.
- Capacitación sobre los riesgos asociados a trabajos en altura.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Chaleco reflectante
- Arnés de seguridad con línea de vida
",Fracturas Mayores,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de losas con viguetas pretensadas muro - 1 Muros de Mampostería,Equipo de construcción Albañilería,Construcción de losas con viguetas pretensadas muro,1,Muros de Mampostería,Fuerza,,Contacto con el Cuerpo,Contractura Muscular,Probable,"CONTROL DE INGENIERÍA
- Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
CONTROL ADMINISTRATIVO
- Asignar un supervisor en el frente de trabajo.
- Evitar la superposición de tareas.
- Capacitación y supervisión en procedimientos de trabajo seguros para el manejo de cemento, arena y piedra, y en las técnicas correctas de levantamiento de cargas.
- Verificar el estado de las herramientas manuales (palas, cucharas, baldes y carretillas, empuñaduras).
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Chaleco reflectante
",Contractura Muscular,Daño Leve,1,Probable,4,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Construcción de Muro de Mampostería - 1 Recepción de materiales,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,1,Recepción de materiales,Máquina,,Incendio ,Muerte,Moderada,"CONTROL DE INGENIERÍA
- Señalización del área de acopio y circulación.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Verificar que la carga se encuentre correctamente equilibrada y fijada antes del izaje.
- Verificar no exceder la capacidad de carga especificada del brazo hidráulico del camión.
- Establecer medios de comunicación claros con el operador (handy o código de señas).
- Capacitación y supervisión en procedimientos de trabajo seguros (distancias de seguridad).
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Mascarilla
- Chaleco reflectante
",Muerte,Daño Fatal,5,Moderada,3,15,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 1 Recepción de materiales,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,1,Recepción de materiales,Máquina,,Atropellos o Golpes por Vehículos,Muerte,Probable,"CONTROL DE INGENIERÍA
- Señalización del área de acopio y circulación.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Verificar documentación del camión.
- Verificar certificación del operador.
- Establecer medios de comunicación claros con el operador (handy o código de señas).
- Capacitación y supervisión en procedimientos de trabajo seguros (distancias de seguridad).
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Mascarilla
- Chaleco reflectante
",Muerte,Daño Fatal,5,Probable,4,20,Riesgo Intolerable,Riesgo Intolerable,Prohibición de Tareas. Se encuentra prohibida en su totalidad la operación en esta condición y se deben realizar en forma inmediata acciones para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 1 Recepción de materiales,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,1,Recepción de materiales,Máquina,,Caída de Objetos Suspendidos,Fracturas Mayores,Probable,"CONTROL DE INGENIERÍA
- Señalización del área de acopio y circulación.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Verificar que la carga se encuentre correctamente equilibrada y fijada antes del izaje.
- Verificar no exceder la capacidad de carga especificada del brazo hidráulico del camión.
- Establecer medios de comunicación claros con el operador (handy o código de señas).
- Capacitación y supervisión en procedimientos de trabajo seguros (distancias de seguridad).
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Mascarilla
- Chaleco reflectante
",Fracturas Mayores,Daño Muy Grave,4,Probable,4,16,Riesgo Importante,Riesgo Importante,Restricción de Tareas. No se permite la operación en esta condición y se deben tomar en forma inmediata las medidas necesarias de prevención y control adicionales para reducir el riesgo o impacto a un Nivel de Riesgo por lo menos Moderado.
Construcción de Muro de Mampostería - 2 Traslado de materiales,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,2,Traslado de materiales,Manipulación manual de cargas,,Sobresfuerzos,Lumbalgia,Probable,"CONTROL DE INGENIERÍA
- Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Evitar la superposición de tareas.
- Capacitación y supervisión en procedimientos de trabajo seguros para el manejo de cemento, arena y piedra, y en las técnicas correctas de levantamiento de cargas.
- Verificar el estado de las herramientas manuales (palas, cucharas, baldes y carretillas, empuñaduras).
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Chaleco reflectante
",Lumbalgia,Daño Moderado,2,Probable,4,8,Riesgo Tolerable,Riesgo Tolerable,"Monitoreo y control para mantener el riesgo o impacto por lo menos en este nivel, sin perjuicio de que se puedan implementar medidas para reducirlos al nivel inferior."
Construcción de Muro de Mampostería - 2 Traslado de materiales,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,2,Traslado de materiales,Herramienta,,Sobresfuerzos,Contractura Muscular,Probable,"CONTROL DE INGENIERÍA
- Señalización del área de acopio y circulación mediante conos, vallas y cinta de peligro.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Mantener orden y limpieza en el área de trabajo.
- Verificar el estado de la carretilla o zorra hidráulica manual (mangos y empuñaduras).
- Realizar rotación de tareas y períodos de descanso durante el traslado de ladrillos o mezcla.
- Capacitación y supervisión en procedimientos de trabajo seguros para el manejo de herramientas.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes
- Mascarilla
- Chaleco reflectante
",Contractura Muscular,Daño Leve,1,Probable,4,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Construcción de Muro de Mampostería - 3 Preparación de Mortero,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,3,Preparación de Mortero,Agentes químicos en el trabajo no mencionados en los   puntos anteriores,,Contacto con los Ojos,Irritación Ocular por Polvo,Probable,"CONTROL DE INGENIERÍA
- Instalación de lavaojos con soluciones para enjuague.
- Colocación de botiquín de primeros auxilios con cremas para tratamiento básico de irritaciones de la piel.
- Instalación de sistema de extracción de polvo o realización de tareas en áreas bien ventiladas.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Mantener orden y limpieza en el área de trabajo.
- Evitar la superposición de tareas.
- Capacitación y supervisión en procedimientos de trabajo seguros para la preparación de cemento, arena, piedra y cal.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Chaleco reflectante
",Irritación Ocular por Polvo,Daño Leve,1,Probable,4,4,Riesgo Trivial,Riesgo Trivial,"Concientización. No requiere implementar métodos de prevención y control sin perjuicio de que se realicen monitoreos, se lleven indicadores al respecto y programar actividades de concientización."
Construcción de Muro de Mampostería - 3 Preparación de Mortero,Equipo de construcción Albañilería,Construcción de Muro de Mampostería,3,Preparación de Mortero,Postura de trabajo forzada,,Sobresfuerzos,Lumbalgia,Probable,"CONTROL DE INGENIERÍA
- Señalizar el área de trabajo y circulación mediante conos, vallas y cinta de peligro.
CONTROL ADMINISTRATIVO
- Colocar banderillero.
- Evitar la superposición de tareas.
- Capacitación y supervisión en procedimientos de trabajo seguros para la preparación de cemento, arena, piedra y cal, y en las técnicas correctas de levantamiento manual de cargas.
- Realizar rotación de tareas y períodos de descanso.
- Mantener orden y limpieza en el área de trabajo.
EPP
- Casco
- Ropa de trabajo
- Calzado de seguridad
- Gafas de seguridad
- Guantes adecuados
- Mascarilla
- Chaleco reflectante
",Lumbalgia,Daño Moderado,2,Probable,4,8,Riesgo Tolerable,Riesgo Tolerable,"Monitoreo y control para mantener el riesgo o impacto por lo menos en este nivel, sin perjuicio de que se puedan implementar medidas para reducirlos al nivel inferior."
